day,tp_id,stochastic,variability
0,0,0,0
0,1,0,0
0,2,1,2
0,3,1,5
0,4,1,26
0,5,1,52
0,6,1,63
0,7,1,48
0,8,1,66
0,9,1,60
0,10,1,65
0,11,1,55
0,12,1,82
0,13,1,100
1,0,1,25
1,1,1,25
1,2,1,26
1,3,1,28
1,4,1,44
1,5,1,64
1,6,1,72
1,7,1,61
1,8,1,74
1,9,1,70
1,10,1,73
1,11,1,66
1,12,1,86
1,13,1,100
2,0,1,43
2,1,1,43
2,2,1,45
2,3,1,46
2,4,1,58
2,5,1,73
2,6,1,79
2,7,1,70
2,8,1,80
2,9,1,77
2,10,1,80
2,11,1,74
2,12,1,89
2,13,1,100
3,0,1,57
3,1,1,57
3,2,1,58
3,3,1,59
3,4,1,68
3,5,1,80
3,6,1,84
3,7,1,78
3,8,1,85
3,9,1,83
3,10,1,85
3,11,1,81
3,12,1,92
3,13,1,100
4,0,1,68
4,1,1,68
4,2,1,69
4,3,1,69
4,4,1,76
4,5,1,85
4,6,1,88
4,7,1,83
4,8,1,89
4,9,1,87
4,10,1,88
4,11,1,85
4,12,1,94
4,13,1,100
5,0,1,76
5,1,1,76
5,2,1,76
5,3,1,77
5,4,1,82
5,5,1,88
5,6,1,91
5,7,1,87
5,8,1,91
5,9,1,90
5,10,1,91
5,11,1,89
5,12,1,95
5,13,1,100
