pc_pickup,pc_delivery,nbr_packages,hour,id_scenario,probability,nbS,mean
75009,75012,1,1,2,0.3653,4,1
75009,75012,1,2,3,0.279,8,1
75008,75116,1,2,3,0.279,8,1
75009,75017,2,3,5,0.1965,14,1
75007,75017,1,3,5,0.1965,14,1
75009,75020,1,3,5,0.1965,14,1
75012,75015,3,4,8,0.1487,19,1
75014,75116,2,4,8,0.1487,19,1
75009,75017,1,4,8,0.1487,19,1
75008,75009,1,4,8,0.1487,19,1
75006,75006,5,5,10,0.132,24,1
75003,75017,1,5,10,0.132,24,1
75011,75011,1,5,10,0.132,24,1
75003,75007,1,5,10,0.132,24,1
75003,75018,1,5,10,0.132,24,1
75010,75013,4,6,11,0.1165,28,1
75001,75019,3,6,11,0.1165,28,1
75009,75020,2,6,11,0.1165,28,1
75015,75017,1,6,11,0.1165,28,1
75014,75015,1,6,11,0.1165,28,1
75009,75016,1,6,11,0.1165,28,1
75002,75009,1,7,13,0.1058,29,1
75008,75008,2,7,13,0.1058,29,1
75001,75017,6,7,13,0.1058,29,1
75007,75020,3,7,13,0.1058,29,1
75012,75015,1,7,13,0.1058,29,1
75008,75016,1,7,13,0.1058,29,1
75015,75017,2,8,14,0.0959,32,1
75011,75012,7,8,14,0.0959,32,1
75012,75017,1,8,14,0.0959,32,1
75009,75017,2,8,14,0.0959,32,1
75014,75014,1,8,14,0.0959,32,1
75014,75018,2,8,14,0.0959,32,1
75009,75116,1,8,14,0.0959,32,1
75017,75017,6,9,14,0.1043,31,1
75011,75014,5,9,14,0.1043,31,1
75011,75018,1,9,14,0.1043,31,1
75009,75016,2,9,14,0.1043,31,1
75015,75016,1,9,14,0.1043,31,1
75009,75017,5,10,13,0.1058,28,1
75017,75020,1,10,13,0.1058,28,1
75015,75017,1,10,13,0.1058,28,1
75008,75019,3,10,13,0.1058,28,1
75008,75020,2,10,13,0.1058,28,1
75009,75015,1,10,13,0.1058,28,1
75002,75018,1,10,13,0.1058,28,1
75009,75017,5,11,11,0.1191,25,1
75008,75020,3,11,11,0.1191,25,1
75009,75012,1,11,11,0.1191,25,1
75002,75008,1,11,11,0.1191,25,1
75007,75009,1,11,11,0.1191,25,1
75006,75013,4,12,10,0.1342,23,1
75008,75009,3,12,10,0.1342,23,1
75009,75020,1,12,10,0.1342,23,1
75001,75016,1,12,10,0.1342,23,1
75011,75015,3,13,8,0.1466,19,1
75008,75020,1,13,8,0.1466,19,1
75006,75016,1,13,8,0.1466,19,1
75011,75017,1,13,8,0.1466,19,1
75017,75020,1,13,8,0.1466,19,1
