pc_pickup,pc_delivery,nbr_packages,hour,id_scenario,probability,nbS,mean
75009,75116,5,0,10,0.1284,25,1
75011,75011,2,0,10,0.1284,25,1
75006,75017,1,0,10,0.1284,25,1
75010,75014,1,0,10,0.1284,25,1
75007,75016,1,1,10,0.1237,24,1
75007,75013,4,1,10,0.1237,24,1
75009,75019,3,1,10,0.1237,24,1
75001,75003,1,1,10,0.1237,24,1
75015,75116,1,1,10,0.1237,24,1
75001,75009,5,2,10,0.1297,24,1
75008,75011,2,2,10,0.1297,24,1
75001,75011,1,2,10,0.1297,24,1
75011,75014,1,2,10,0.1297,24,1
75009,75019,1,2,10,0.1297,24,1
75014,75020,1,3,9,0.133,22,1
75009,78600,1,3,9,0.133,22,1
75001,75012,2,3,9,0.133,22,1
75008,75017,2,3,9,0.133,22,1
75003,75016,1,3,9,0.133,22,1
75009,75017,1,3,9,0.133,22,1
75011,75116,1,3,9,0.133,22,1
75015,75020,3,4,7,0.1619,18,1
75008,75016,1,4,7,0.1619,18,1
75014,75015,1,4,7,0.1619,18,1
75008,75016,1,4,7,0.1619,18,1
75013,78600,2,5,9,0.1432,23,1
75011,75017,3,5,9,0.1432,23,1
75001,75008,2,5,9,0.1432,23,1
75009,75020,1,5,9,0.1432,23,1
75009,75009,5,6,11,0.1289,25,1
75012,75018,3,6,11,0.1289,25,1
75013,75017,1,6,11,0.1289,25,1
75006,75009,1,6,11,0.1289,25,1
75008,75020,1,7,10,0.1304,23,1
75006,75014,1,7,10,0.1304,23,1
75009,75020,2,7,10,0.1304,23,1
75009,75019,3,7,10,0.1304,23,1
75002,75019,1,7,10,0.1304,23,1
75001,75018,1,7,10,0.1304,23,1
75008,75009,2,8,10,0.1248,23,1
75014,75016,1,8,10,0.1248,23,1
75013,75015,2,8,10,0.1248,23,1
75009,75009,2,8,10,0.1248,23,1
75001,75013,1,8,10,0.1248,23,1
75006,75012,1,8,10,0.1248,23,1
75010,75020,1,8,10,0.1248,23,1
75002,75009,4,9,9,0.1348,23,1
75010,75011,1,9,9,0.1348,23,1
75016,75017,2,9,9,0.1348,23,1
75005,75017,1,9,9,0.1348,23,1
75009,75012,1,9,9,0.1348,23,1
75008,75015,4,10,10,0.1236,24,1
75016,75019,3,10,10,0.1236,24,1
75008,75014,2,10,10,0.1236,24,1
